Date,Open,High,Low,Close,Adj Close,Volume,year,month,Close_FD,High_FD,Low_FD,Open_FD,ADX_FD,SMA_FD,macd,macdsignal,macdhist,upperband,middleband,lowerband,RSI_FD,ret1,std5,std10,std20,std40,future_return
01/08/2016,26.10250092,26.53750038,26.10250092,26.51250076,24.80964661,152671600,2016,Aug,0.431370041,0.436780551,0.429487156,0.424979456,10.77590445,0.407861636,0.006847879,0.003936043,0.002911836,0.470394387,0.424923007,0.379451627,56.70398683,0.033162793,0.091409867,0.064811234,0.048383095,0.041577475,-0.063967704
02/08/2016,26.51250076,26.51749992,26,26.12000084,24.44235992,135266400,2016,Aug,0.40377629,0.425069445,0.418696253,0.436608356,10.52153482,0.408515462,0.005461743,0.004241183,0.00122056,0.463080454,0.428349327,0.3936182,48.93820691,-0.063967704,0.100207855,0.068252518,0.050133132,0.042808466,0.044232715
03/08/2016,26.20249939,26.45999908,26.19249916,26.44750023,24.74882126,120810400,2016,Aug,0.421636412,0.420384957,0.426006085,0.413717373,10.28533444,0.409555306,0.005738236,0.004540594,0.001197643,0.442799054,0.421517292,0.40023553,53.38788544,0.044232715,0.049659965,0.069550926,0.050741089,0.043355531,-0.003791097
04/08/2016,26.39500046,26.5,26.31999969,26.46750069,24.9017086,109634800,2016,Aug,0.420037947,0.421489159,0.425368707,0.42503523,10.11699944,0.410443909,0.005761956,0.004784866,0.00097709,0.436643046,0.418868895,0.401094745,52.94320699,-0.003791097,0.045667452,0.069187983,0.050768608,0.043328298,0.021929913
05/08/2016,26.56749916,26.91250038,26.54500008,26.87000084,25.28039932,162213600,2016,Aug,0.429249343,0.43505939,0.429096714,0.426751349,10.56850321,0.411574929,0.006449689,0.005117831,0.001331858,0.44067365,0.421214007,0.401754363,55.25604321,0.021929913,0.043139814,0.068915792,0.050915475,0.043369993,-0.006868189
08/08/2016,26.87999916,27.09250069,26.79000092,27.09250069,25.48973465,112148800,2016,Aug,0.426301177,0.431395622,0.431346864,0.432938272,10.98775672,0.412688124,0.006679829,0.00543023,0.001249598,0.437885092,0.420200234,0.402515376,54.33555587,-0.006868189,0.040547924,0.068277403,0.05092083,0.043066951,-0.008317608
09/08/2016,27.05750084,27.23500061,27.00250053,27.20249939,25.59322357,105260800,2016,Aug,0.422755371,0.430517226,0.432051605,0.431289873,11.37706354,0.413562615,0.006501158,0.005644416,0.000856742,0.430670446,0.42399605,0.417321654,53.18793378,-0.008317608,0.023037374,0.068566371,0.050993504,0.042816132,-0.028841129
10/08/2016,27.17749977,27.22500038,26.94000053,27,25.40270805,96034000,2016,Aug,0.410562629,0.425142749,0.422972109,0.429596436,11.14226853,0.414300731,0.005314446,0.005578422,-0.000263976,0.434620223,0.421781293,0.408942364,49.32965194,-0.028841129,0.018092954,0.035574062,0.051158749,0.042914379,0.004973494
11/08/2016,27.12999916,27.23250008,26.96249962,26.98250008,25.38624382,109938000,2016,Aug,0.41260456,0.42397128,0.423192452,0.423335049,10.92424459,0.414043613,0.004487012,0.00536014,-0.000873128,0.435158526,0.420294616,0.405430706,49.98400781,0.004973494,0.018676048,0.032908068,0.049658086,0.042900989,0.006398762
12/08/2016,26.94499969,27.11000061,26.94499969,27.04500008,25.44503975,74641600,2016,Aug,0.415244718,0.418481536,0.421238735,0.415969164,10.58608179,0.41450743,0.003998214,0.005087755,-0.001089541,0.429568729,0.417493691,0.405418652,50.86749985,0.006398762,0.014147258,0.031014676,0.049207342,0.042834211,0.024727329
